"slug","title","icon","effect","count","deck"
"injury","Injury","/mighty-decks/effects/injury.png","4x Injury ➜ Unconscious.──Use an action or an Asset to heal and discard.",4,"base"
"distress","Distress","/mighty-decks/effects/distress.png","3x Distress ➜ Panic.<BR>4x Distress ➜ Hopeless.──Use an action or an Asset to recover and discard.",4,"base"
"dying","Dying","/mighty-decks/effects/dying.png","4x Injury: You cannot take actions until someone revives you. Check optional dying rules.──Heal your Injuries to discard.",1,"base"
"panicked","Panicked","/mighty-decks/effects/panicked.png","3x Distress: You can only play the top card of your Outcome deck.──Recover from your Distress to discard.",1,"base"
"hopeless","Hopeless","/mighty-decks/effects/hopeless.png","4x Distress: You can only flee or give up.──Recover from your Distress to discard.",1,"base"
"stuck","Stuck","/mighty-decks/effects/stuck.png","You cannot move, but you can still take other actions.──Use an action to free yourself and discard.",1,"base"
"hindered","Hindered","/mighty-decks/effects/hindered.png","You can only move or take actions, but not both.──Use an action to free yourself and discard.",1,"base"
"boost","Boost","/mighty-decks/effects/boost.png","Your next action or defense has +1 Effect or +1 Move.",1,"base"
"complication","Complication","/mighty-decks/effects/complication.png","A Complication makes your life harder.──Next action or defense has -1 Effect, then discard.",1,"base"
"freezing","Freezing","/mighty-decks/effects/freezing.png","Every turn you end with 2x Freezing or more, you receive a Distress. Cancelled by Burning.──Use an action or an Asset to discard.",2,"base"
"burning","Burning","/mighty-decks/effects/burning.png","Every turn you end with 2x Burning or more, you receive an Injury. Cancelled by Freezing.──Use an action or an Asset to discard.",2,"base"
"infection","Spore infection","/LP/icons/spore-infection.png","+1 Doom",0,"base"
"doom","Doom","/mighty-decks/doom.png","You are loosing your humanity.──3x Doom: You transform into a monster.",0,"base"
"salvation","Salvation","/mighty-decks/salvation.png","You are regaining your humanity.──3x Salvation: You transform back into a hero.",0,"base"
